SubjectID,SY_SlidingWindo___en2_10_Frontal_L,SY_SlidingWindo___en2_10_Frontal_R,SY_SlidingWindo___en2_10_Central_L,SY_SlidingWindo___en2_10_Central_R,SY_SlidingWindo___en2_10_Parietal_L,SY_SlidingWindo___en2_10_Parietal_R,SY_SlidingWindo___en2_10_Temporal_L,SY_SlidingWindo___en2_10_Temporal_R,SY_SlidingWindo___en2_10_Occipital_L,SY_SlidingWindo___en2_10_Occipital_R,SY_SlidingWindo___en2_10_Midline,SY_SlidingWindo___en2_10_Anterior,SY_SlidingWindo___en2_10_Posterior,ApEn2_02_Frontal_L,ApEn2_02_Frontal_R,ApEn2_02_Central_L,ApEn2_02_Central_R,ApEn2_02_Parietal_L,ApEn2_02_Parietal_R,ApEn2_02_Temporal_L,ApEn2_02_Temporal_R,ApEn2_02_Occipital_L,ApEn2_02_Occipital_R,ApEn2_02_Midline,ApEn2_02_Anterior,ApEn2_02_Posterior,EN_mse_1_10_2_0___SampEn_Frontal_L,EN_mse_1_10_2_0___SampEn_Frontal_R,EN_mse_1_10_2_0___SampEn_Central_L,EN_mse_1_10_2_0___SampEn_Central_R,EN_mse_1_10_2_0___SampEn_Parietal_L,EN_mse_1_10_2_0___SampEn_Parietal_R,EN_mse_1_10_2_0___SampEn_Temporal_L,EN_mse_1_10_2_0___SampEn_Temporal_R,EN_mse_1_10_2_0___SampEn_Occipital_L,EN_mse_1_10_2_0___SampEn_Occipital_R,EN_mse_1_10_2_0___SampEn_Midline,EN_mse_1_10_2_0___SampEn_Anterior,EN_mse_1_10_2_0___SampEn_Posterior
M01,-1.20397280432594,-1.20238536941021,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20009613635636,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20252338369724,-1.20397280432594,0.964329062368948,0.944818288501921,0.902590555772781,0.971869121363753,0.890960721516802,1.01816992850214,0.939595308388856,0.916170441120204,0.868957186128774,0.947766847547634,1.0166160820372,0.945692033787691,0.932483888456397,0.154860134777617,0.0374466534194249,0.703385838043271,0.160126255580883,0.421625638519025,0.117658152919269,0.46439544309525,0.17149405844172,0.223969933653507,0.111984966826753,0.287525120766796,0.13988839720648,0.311502838393282
M02,-1.19408151715944,-1.20397280432594,-1.20022732835059,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.19626252358451,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.19903171886636,-1.2036051403039,1.01073764552453,1.04982372128222,0.996514770051223,0.933937422814638,0.883824495130825,0.866238499988122,0.958590960952365,0.969351426903923,0.860864078133067,0.731516111485823,0.956136217869386,1.02952847351183,0.862764907474919,0.6379798211066,0.787938832324483,0.867014882466701,1.12944739178857,1.39820545091328,1.28509574765301,1.20783083756978,1.15184811506982,1.51519335224127,0.977301200514789,1.32925890066211,0.764345638328547,1.29188559400765
M03,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.2023676003365,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20362166595325,1.09007693882818,1.07260735738538,0.982138709340319,0.910743797894191,0.879152522712825,0.897943825406887,1.16529191760191,1.11671822972309,0.907899990796808,0.901146607866448,0.834343905320122,1.09226718722275,0.923640411944738,0.0307637781749722,0.183749735583964,0,0,0,0.60060508554595,0.16108290242407,0,0,0,0.0853218794870502,0.0905096931775568,0.16158540666769
M04,-1.20397280432594,-1.2028233284147,-1.20397280432594,-1.18378766670109,-1.20048779259955,-1.19880704278453,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.19146237200631,-1.20397280432594,-1.20354707250696,-1.19862428698133,0.998723721793239,0.981082294407143,0.973361708853651,0.816967704423585,0.912663330831751,0.720392489043437,1.0990557253458,1.05414960220459,1.13779060937245,0.879448661453981,0.772969200162064,1.01031163219292,0.89444237010653,0.106520302423057,0.0708706331279073,1.10431954610712,1.50138672390408,1.46148739900535,1.62617416854019,1.04772550363813,0.423137836634524,0.452606902652389,0.522596127569237,0.693766582490175,0.187141708469437,1.17830989905296
M05,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,0.897851648257646,0.983390302429884,0.802693289092101,0.890583119050375,0.797946921910047,0.854142759440054,0.907963094922864,1.01589530617418,1.03975065444112,1.13154090840964,0.774358717504815,0.937999374743075,0.908629491094116,1.08781876351967,0.503950214783205,0.50356432565545,0.430918598206032,1.22995852528479,1.5842367348136,0.836882262620078,0.704832073226418,0.646871386846002,1.09090224082499,0.448225451143159,0.680805158709938,1.15353299875886
M06,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,0.90507204189808,0.997876336013955,0.815907582172274,0.897373633221491,0.903137012831795,0.849089578575549,0.977336420303076,0.901903711400344,1.034298854923,0.945910391724167,0.786073138623468,0.925789203775867,0.920316888273914,0,0.0895879734614028,0,0,0.352974458757807,0,0,0,0,0.12996509635499,0,0.0331807309116306,0.0934587998976441
M07,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20018427315287,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20326245473099,1.09104843795106,1.12111844643161,1.10253054628854,1.07436899642325,1.12488029147362,1.07788106569236,1.32100135950471,1.31954482135845,1.24366200909116,1.20635936150113,0.908117414479227,1.13744198644398,1.15533713665449,0,0.175132580975522,0.43984288826921,0.493583969505842,0.214425715950552,0.391775911127919,0.0670599130180875,0.602067618091356,0.178859279662037,0,0,0.115012996678012,0.305395402629476
M09,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.2023676003365,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20362166595325,1.10399044099525,1.15305853641675,1.02962608835671,0.920314423152631,1.01897469643192,1.00252779225253,1.22831177838634,1.2454871748294,1.07938631478237,1.09212482960808,0.916017706751563,1.14516193359378,1.04836650725373,0.112495241758257,0.0881055317828641,0.359790676128026,0,0.308392008109736,0,0.277683709181267,0.130390627348206,0.378668565391363,0,0,0.103272277759276,0.192007485301196
M10,-1.20049732763296,-1.20052316075159,-1.20397280432594,-1.20397280432594,-1.19587789823258,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.19364128124313,-1.20140794496767,-1.20220204361801,0.807517929208883,0.771812409636565,0.738248372947491,0.722617869494779,0.809792213794785,0.758158318636767,0.919037617993383,0.84715000248691,0.953858990803522,0.915855215096686,0.744788483256907,0.820269501437463,0.822341542118587,1.19458096679134,1.20955536598673,1.43680960994491,1.5193877494536,0.670750112887778,1.44010150527697,0,0.276012749444119,0.386313385672918,1.2357100876735,1.38844723841989,0.976419820652332,0.929643919638949
M11,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,1.12481200716576,1.20099908245828,1.02125586161478,0.954824152656579,0.907330523088804,0.927123791061539,1.20366398563129,1.2716206949537,1.11875680469131,1.10059535348492,0.831754137678052,1.18028035498747,0.995037652059791,0.385994722989476,1.19985362195102,1.4117662045789,1.30029590159241,1.40912691780715,1.41063181862066,1.09185837370743,0.991468526573327,1.33859110153208,1.15946098809466,0.37078352127044,0.755776706797619,1.33566645298091
